US GB 12140
FR GB 3717
US JP 5760
BM HK 1617
KY HK 1434
BM VG 1356
HK VG 1323
KY VG 1192
GB US 8912
GB IE 1438
US TW 1952
CH GB 1987
GB FR 1512
FR US 5833
US KY 2756
FR JP 1251
GB JP 1411
US BM 2305
FR BE 1364
NL GB 2200
CA GB 1531
GB KY 912
JP US 4386
FR LU 856
NO JP 1103
GB NL 1650
GB HK 875
FR ES 1414
BM GB 927
JP GB 1028
DE GB 3231
GB SG 754
FR IT 1338
US CA 4860
US HK 2040
US FR 2468
CH US 4235
GB TW 614
GB BM 645
CA US 6113
SG BM 537
FR NL 1026
GB ES 1020
GB LU 665
JP SG 595
US SG 1697
AU GB 1059
FR SG 533
GB IT 1033
BE LU 562
BE FR 957
FR HK 523
US CH 1882
GB CH 813
DE US 4609
LU GB 621
NL FR 1132
US NL 3256
US IE 1323
SG HK 403
NO TW 401
DE FR 1623
NO GB 668
FR PL 674
GB ZA 703
HK KY 379
GB TH 433
FR CH 1140
IE GB 718
BM US 2375
NL PL 908
NL ES 887
ES GB 755
GB CA 997
GB SE 511
US BR 1645
US MX 2077
SE NO 414
FR MQ 332
US LU 1188
VG HK 293
AT CZ 424
NL CZ 538
JP TW 350
LU FR 455
CH FR 806
NL IT 756
US IT 1395
NO SE 451
SG MY 313
US AU 1408
NL RO 461
JP HK 324
AT HU 316
JP TH 356
SE JP 388
NO US 2000
GB VG 338
FR BR 533
FR SE 434
ES PT 466
GB BR 526
CH KY 295
US TH 602
LU NL 450
AU SG 444
FR CZ 342
FR RU 402
US SE 908
BM SG 243
GB DE 1828
BM JP 342
CH JP 405
FR IE 285
MY SG 261
BE GB 431
SE DK 347
US IN 1468
GB PL 485
GB MY 297
FR MX 372
NL US 3351
GB RU 393
JP NL 368
AU NZ 409
SE GB 387
GB AT 316
FR AT 283
NL JP 551
NL IE 460
US IL 631
NO BM 234
SG GB 294
FR RO 297
GB IN 672
US MY 599
NL RU 525
US ZA 772
US ES 1236
SE FI 283
ES MX 441
FR PT 303
HK SG 196
FR TW 210
BM KY 195
GB BE 422
CH BM 250
NL BE 582
NO KY 201
SG KY 191
SG VG 191
FR DE 1764
NO SG 251
AT RO 263
DE LU 644
GB DK 270
NL LU 318
GB NO 294
US MH 270
AU HK 324
ES CL 274
IT GB 522
ES AR 293
FR AR 222
US ID 406
DE KY 257
FR GR 206
FR FI 220
FR NO 217
CH HK 254
US DE 3090
US KR 518
NL AT 360
FR BM 166
FR KY 165
GB CZ 247
KY GB 212
HK BM 164
CH LU 253
GB AU 620
GB MX 281
FR HU 199
NL HU 295
US NO 588
US BE 842
CH IT 433
DE AT 1170
FR CA 494
NO FR 207
LU DE 657
JP MY 236
US PL 692
LU IE 167
NL SG 300
CH SG 247
JP KY 153
GB MU 167
BM IE 156
GB ID 180
NL TW 335
KY SG 145
AU US 1495
IT FR 409
LU IT 263
JP KR 227
VG KY 143
JP CN 645
US CN 1282
SE US 952
NL DE 1574
NL CH 505
IT LU 342
HK CN 747
US TR 366
FR ZA 219
GB CN 477
JP ID 179
BM TW 137
CA JP 314
ES BR 408
CN HK 370
NL HK 263
ZA GB 356
FR DK 188
DE ES 1068
BE NL 446
ES NL 293
AT DE 667
FR TH 133
ES CO 205
US CL 434
NL SE 287
US FI 405
